cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Larynx",6,2,24,2,0,422,14,45,1.22,.74,"Lebanon",13,"Western Asia"
"Hypopharynx",6,0,25,2,0,586,5,553,.64,.462,"Pakistan",12,"South Central Asia"
"Lip, oral cavity",6,3,26,2,0,470,1,19,3.81,.804,"Malta",16,"Southern Europe"
"Oropharynx",6,2,27,2,0,703,3,64,1.3,.773,"Slovakia",14,"Eastern Europe"
"Vulva",6,3,28,2,0,528,21,537,2.57,.885,"The Netherlands",17,"Western Europe"
"Salivary glands",6,0,29,2,0,887,2,103,1.08,.461,"Yemen",13,"Western Asia"
"Stomach",6,1,30,2,0,320,7,1041,12.87,.563,"Guatemala",7,"Central America"
"Bladder",7,2,1,2,0,348,30,980,7.44,.788,"Hungary",14,"Eastern Europe"
"Brain, CNS",7,3,2,2,0,616,31,1907,5.61,.804,"Poland",14,"Eastern Europe"
"Breast",7,3,3,2,0,840,20,274375,95.91,.891,"United States of America",9,"Northern America"
"Colorectum",7,3,4,2,0,352,8,106,29.91,.881,"Iceland",15,"Northern Europe"
"Pancreas",7,3,5,2,0,246,13,775,8.05,.874,"Finland",15,"Northern Europe"
"Kidney",7,3,6,2,0,233,29,144,8.04,.805,"Estonia",15,"Northern Europe"
"Lung",7,1,7,2,0,160,15,401862,30.34,.606,"China",10,"Eastern Asia"
"NHL",7,3,8,2,0,36,34,2549,10.21,.907,"Australia",18,"Australia/New Zealand"
"Corpus uteri",7,2,9,2,0,703,24,1185,21.54,.773,"Slovakia",14,"Eastern Europe"
"Thyroid",7,2,10,2,0,620,32,1794,23.93,.799,"Portugal",16,"Southern Europe"
"Leukaemia",7,3,11,2,0,540,36,15,7.91,.852,"New Caledonia",19,"Melanesia"
"Ovary",7,2,12,2,0,643,25,14606,11.47,.734,"Russian Federation",14,"Eastern Europe"
"Hodgkin lymphoma",7,2,13,2,0,348,33,125,2.76,.788,"Hungary",14,"Eastern Europe"
"Multiple myeloma",7,3,14,2,0,208,35,277,3.81,.89,"Denmark",15,"Northern Europe"
"Melanoma of skin",7,3,15,2,0,554,16,1192,25.02,.888,"New Zealand",18,"Australia/New Zealand"
"Mesothelioma",7,1,16,2,0,51,18,13,.47,.682,"Armenia",13,"Western Asia"
"Cervix uteri",7,0,17,2,0,324,23,2551,55.01,.356,"Guinea",5,"Western Africa"
"Liver",7,0,18,2,0,418,11,407,14.26,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Nasopharynx",7,0,19,2,0,418,4,85,2.65,.486,"Lao People's Democratic Republic",11,"South-Eastern Asia"
"Kaposi sarcoma",7,0,20,2,0,716,19,429,6.37,.423,"Zimbabwe",1,"Eastern Africa"
"Oesophagus",7,0,21,2,0,800,6,955,9.28,.427,"Uganda",1,"Eastern Africa"
"Vagina",7,3,22,2,0,44,22,2,.81,.8,"Bahamas",6,"Caribbean"
"Gallbladder",7,2,23,2,0,434,12,109,3.25,.79,"Libya",3,"Northern Africa"
"Larynx",7,1,24,2,0,760,14,96,1.18,.607,"Syrian Arab Republic",13,"Western Asia"
"Hypopharynx",7,1,25,2,0,704,5,419,.6,.602,"Viet Nam",11,"South-Eastern Asia"
"Lip, oral cavity",7,3,26,2,0,36,1,934,3.68,.907,"Australia",18,"Australia/New Zealand"
"Oropharynx",7,3,27,2,0,276,3,1227,1.25,.89,"Germany",17,"Western Europe"
"Vulva",7,0,28,2,0,716,21,147,2.5,.423,"Zimbabwe",1,"Eastern Africa"
"Salivary glands",7,2,29,2,0,242,2,5,1,.7,"Fiji",19,"Melanesia"
"Stomach",7,0,30,2,0,466,7,634,12.43,.334,"Mali",5,"Western Africa"
"Bladder",8,3,1,2,0,826,30,6088,6.53,.881,"United Kingdom",15,"Northern Europe"
"Brain, CNS",8,3,2,2,0,752,31,417,5.58,.908,"Sweden",15,"Northern Europe"
"Breast",8,3,3,2,0,578,20,4480,95.56,.917,"Norway",15,"Northern Europe"
"Colorectum",8,2,4,2,0,191,8,1692,29.44,.774,"Croatia",16,"Southern Europe"
"Pancreas",8,0,5,2,0,854,13,470,8.05,.303,"Burkina Faso",5,"Western Africa"
"Kidney",8,3,6,2,0,250,29,5288,7.84,.852,"France (metropolitan)",17,"Western Europe"
"Lung",8,1,7,2,0,408,15,6908,29.8,.595,"Korea, Democratic People Republic of",10,"Eastern Asia"
"NHL",8,3,8,2,0,372,34,451,9.89,.881,"Ireland",15,"Northern Europe"
"Corpus uteri",8,3,9,2,0,124,24,7898,21.12,.877,"Canada",9,"Northern America"
"Thyroid",8,2,10,2,0,188,32,752,23.54,.728,"Costa Rica",7,"Central America"
"Leukaemia",8,3,11,2,0,554,36,342,7.79,.888,"New Zealand",18,"Australia/New Zealand"
"Ovary",8,2,12,2,0,242,25,52,11.1,.7,"Fiji",19,"Melanesia"
"Hodgkin lymphoma",8,1,13,2,0,70,33,54,2.67,.689,"Bosnia Herzegovina",16,"Southern Europe"
"Multiple myeloma",8,3,14,2,0,36,35,1062,3.79,.907,"Australia",18,"Australia/New Zealand"
"Melanoma of skin",8,3,15,2,0,246,16,1100,21.58,.874,"Finland",15,"Northern Europe"
"Mesothelioma",8,3,16,2,0,208,18,34,.46,.89,"Denmark",15,"Northern Europe"
"Cervix uteri",8,0,17,2,0,800,23,6938,53.76,.427,"Uganda",1,"Eastern Africa"
"Liver",8,0,18,2,0,116,11,1103,14.1,.457,"Cambodia",11,"South-Eastern Asia"
"Nasopharynx",8,1,19,2,0,704,4,1610,2.51,.602,"Viet Nam",11,"South-Eastern Asia"
"Kaposi sarcoma",8,0,20,2,0,748,19,35,6.36,.442,"Eswatini",4,"Southern Africa"
"Oesophagus",8,0,21,2,0,174,6,23,8.51,.475,"Comoros",1,"Eastern Africa"
"Vagina",8,0,22,2,0,384,22,59,.79,.426,"Côte d'Ivoire",5,"Western Africa"
"Gallbladder",8,0,23,2,0,586,12,2014,2.55,.462,"Pakistan",12,"South Central Asia"
"Larynx",8,1,24,2,0,214,14,75,1.16,.668,"Dominican Republic",6,"Caribbean"
"Hypopharynx",8,1,25,2,0,795,5,19,.6,.666,"Turkmenistan",12,"South Central Asia"
"Lip, oral cavity",8,0,26,2,0,116,1,270,3.47,.457,"Cambodia",11,"South-Eastern Asia"
"Oropharynx",8,3,27,2,0,826,3,690,1.19,.881,"United Kingdom",15,"Northern Europe"
