cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Stomach",7,1,1,2,3,26,0,0,417,7,932,16.46,.63,"Kyrgyzstan",12,"South Central Asia"
"Oesophagus",7,0,1,2,3,27,0,0,834,6,3532,11.83,.407,"Tanzania, United Republic of",1,"Eastern Africa"
"Salivary glands",7,0,1,2,3,28,0,0,454,2,115,.98,.357,"Malawi",1,"Eastern Africa"
"Hypopharynx",7,2,1,2,3,29,0,0,440,5,121,2.34,.785,"Lithuania",15,"Northern Europe"
"Larynx",7,3,1,2,3,30,0,0,616,14,2983,4.29,.804,"Poland",14,"Eastern Europe"
"Lip, oral cavity",7,2,1,2,3,31,0,0,703,1,615,6.39,.773,"Slovakia",14,"Eastern Europe"
"Ovary",7,2,1,2,3,32,0,0,643,25,14606,11.47,.734,"Russian Federation",14,"Eastern Europe"
"Vulva",7,0,1,2,3,33,0,0,716,21,147,2.5,.423,"Zimbabwe",1,"Eastern Africa"
"Bladder",8,2,1,1,1,1,0,0,348,30,3246,14.86,.788,"Hungary",14,"Eastern Europe"
"Mesothelioma",8,3,1,1,1,2,0,0,554,18,120,1.02,.888,"New Zealand",18,"Australia/New Zealand"
"Breast",8,3,1,1,1,3,0,0,578,20,4480,95.56,.917,"Norway",15,"Northern Europe"
"Colorectum",8,3,1,1,1,4,0,0,392,8,145756,36.63,.864,"Japan",10,"Eastern Asia"
"Kidney",8,3,1,1,1,5,0,0,250,29,14541,11.39,.852,"France (metropolitan)",17,"Western Europe"
"Leukaemia",8,3,1,1,1,6,0,0,528,36,3136,9.86,.885,"The Netherlands",17,"Western Europe"
"Multiple myeloma",8,3,1,1,1,7,0,0,578,35,555,4.52,.917,"Norway",15,"Northern Europe"
"Pancreas",8,2,1,1,1,8,0,0,428,13,454,9.27,.767,"Latvia",15,"Northern Europe"
"NHL",8,3,1,1,1,9,0,0,380,34,15576,11.63,.85,"Italy",16,"Southern Europe"
"Corpus uteri",8,3,1,1,1,10,0,0,124,24,7898,21.12,.877,"Canada",9,"Northern America"
"Thyroid",8,3,1,1,1,11,0,0,540,32,53,14.42,.852,"New Caledonia",19,"Melanesia"
"Lung",8,2,1,1,1,12,0,0,191,15,3649,37.05,.774,"Croatia",16,"Southern Europe"
"Brain, CNS",8,2,1,1,1,13,0,0,100,31,804,6.8,.736,"Bulgaria",14,"Eastern Europe"
"Hodgkin lymphoma",8,3,1,1,1,14,0,0,756,33,278,2.89,.899,"Switzerland",17,"Western Europe"
"Testis",8,3,1,1,1,15,0,0,208,28,310,10.18,.89,"Denmark",15,"Northern Europe"
"Melanoma of skin",8,3,1,1,1,16,0,0,246,16,2261,20.5,.874,"Finland",15,"Northern Europe"
"Prostate",8,3,1,1,1,17,0,0,233,27,1174,98.77,.805,"Estonia",15,"Northern Europe"
